Close,Open,High,Low,Date,Daily return,Target,Running_Max,Drawdown,Max_Drawdown,Cumulative_Max
113.64,109.11,114.59,107.52,04/01/2023,5.124884366,1,113.64,0,0,113.64
110.34,110.51,111.75,107.16,05/01/2023,-2.903907075,0,113.64,-2.903907075,-2.903907075,113.64
113.06,103,114.39,101.81,06/01/2023,2.465107848,1,113.64,-0.510383668,-2.903907075,113.64
119.77,118.96,123.52,117.11,09/01/2023,5.934901822,1,119.77,0,-2.903907075,119.77
118.85,121.07,122.76,114.92,10/01/2023,-0.768138933,0,119.77,-0.768138933,-2.903907075,119.77
123.22,122.09,125.95,120.51,11/01/2023,3.67690366,1,123.22,0,-2.903907075,123.22
123.56,122.56,124.13,117,12/01/2023,0.275929232,1,123.56,0,-2.903907075,123.56
122.4,116.55,122.63,115.6,13/01/2023,-0.938815151,1,123.56,-0.938815151,-2.903907075,123.56
131.49,125.7,131.7,125.02,17/01/2023,7.426470588,1,131.49,0,-2.903907075,131.49
128.78,136.56,136.68,127.01,18/01/2023,-2.060993231,0,131.49,-2.060993231,-2.903907075,131.49
127.17,127.26,129.99,124.31,19/01/2023,-1.25019413,0,131.49,-3.285420945,-3.285420945,131.49
133.42,128.68,133.51,127.35,20/01/2023,4.914681135,1,133.42,0,-3.285420945,133.42
143.75,135.87,145.38,134.27,23/01/2023,7.742467396,1,143.75,0,-3.285420945,143.75
143.89,143,146.5,141.1,24/01/2023,0.097391304,1,143.89,0,-3.285420945,143.89
144.43,141.91,146.41,138.07,25/01/2023,0.375286677,1,144.43,0,-3.285420945,144.43
160.27,159.97,161.42,154.76,26/01/2023,10.96725057,1,160.27,0,-3.285420945,160.27
177.9,162.43,180.68,161.17,27/01/2023,11.00018718,1,177.9,0,-3.285420945,177.9
166.66,178.05,179.77,166.5,30/01/2023,-6.318156268,0,177.9,-6.318156268,-6.318156268,177.9
173.22,164.57,174.3,162.78,31/01/2023,3.936157446,1,177.9,-2.6306914,-6.318156268,177.9
181.41,173.89,183.81,169.93,01/02/2023,4.728091444,1,181.41,0,-6.318156268,181.41
188.27,187.33,196.75,182.61,02/02/2023,3.781489444,1,188.27,0,-6.318156268,188.27
189.98,183.95,199,183.69,03/02/2023,0.908270038,1,189.98,0,-6.318156268,189.98
194.76,193.01,198.17,189.92,06/02/2023,2.516054322,1,194.76,0,-6.318156268,194.76
196.81,196.43,197.5,189.55,07/02/2023,1.052577531,1,196.81,0,-6.318156268,196.81
201.29,196.1,203,194.31,08/02/2023,2.276307098,1,201.29,0,-6.318156268,201.29
207.32,207.78,214,204.77,09/02/2023,2.995677878,0,207.32,0,-6.318156268,207.32
196.89,202.23,206.2,192.89,10/02/2023,-5.030870152,0,207.32,-5.030870152,-6.318156268,207.32
194.64,194.42,196.3,187.61,13/02/2023,-1.142770075,1,207.32,-6.116148948,-6.318156268,207.32
209.25,191.94,209.82,189.44,14/02/2023,7.506165228,1,209.25,0,-6.318156268,209.25
214.24,211.76,214.66,206.11,15/02/2023,2.384707288,1,214.24,0,-6.318156268,214.24
202.04,210.78,217.65,201.84,16/02/2023,-5.69454817,0,214.24,-5.69454817,-6.318156268,214.24
208.31,199.99,208.44,197.5,17/02/2023,3.103345872,1,214.24,-2.767923824,-6.318156268,214.24
197.37,204.99,209.71,197.22,21/02/2023,-5.2517882,0,214.24,-7.874346527,-7.874346527,214.24
200.86,197.93,201.99,191.78,22/02/2023,1.768252521,1,214.24,-6.245332338,-7.874346527,214.24
202.07,203.91,205.14,196.33,23/02/2023,0.602409639,0,214.24,-5.680545183,-7.874346527,214.24
196.88,196.33,197.67,192.8,24/02/2023,-2.568416885,1,214.24,-8.103061987,-8.103061987,214.24
207.63,202.03,209.42,201.26,27/02/2023,5.460178789,1,214.24,-3.085324869,-8.103061987,214.24
205.71,210.59,211.23,203.75,28/02/2023,-0.924721861,0,214.24,-3.981516057,-8.103061987,214.24
202.77,206.21,207.2,198.52,01/03/2023,-1.429196442,0,214.24,-5.353808813,-8.103061987,214.24
190.9,186.74,193.75,186.01,02/03/2023,-5.853923164,1,214.24,-10.89432412,-10.89432412,214.24
197.79,194.8,200.48,192.88,03/03/2023,3.609219487,1,214.24,-7.678304705,-10.89432412,214.24
193.81,198.54,198.6,192.3,06/03/2023,-2.012235199,0,214.24,-9.536034354,-10.89432412,214.24
187.71,191.38,194.2,186.1,07/03/2023,-3.147412414,0,214.24,-12.38330844,-12.38330844,214.24
182,185.04,186.5,180,08/03/2023,-3.041926376,0,214.24,-15.04854369,-15.04854369,214.24
172.92,180.25,185.18,172.51,09/03/2023,-4.989010989,0,214.24,-19.28678118,-19.28678118,214.24
173.44,175.13,178.29,168.44,10/03/2023,0.300717095,0,214.24,-19.04406273,-19.28678118,214.24
174.48,167.46,177.35,163.91,13/03/2023,0.599630996,1,214.24,-18.55862584,-19.28678118,214.24
183.26,177.31,183.8,177.14,14/03/2023,5.032095369,1,214.24,-14.46041822,-19.28678118,214.24
180.45,180.8,182.34,176.03,15/03/2023,-1.533340609,0,214.24,-15.77203137,-19.28678118,214.24
184.13,180.37,185.81,178.84,16/03/2023,2.039346079,1,214.24,-14.05433159,-19.28678118,214.24
180.13,184.52,186.22,177.33,17/03/2023,-2.172378211,0,214.24,-15.92139656,-19.28678118,214.24
183.25,178.08,186.44,176.35,20/03/2023,1.732082385,1,214.24,-14.46508588,-19.28678118,214.24
197.58,188.28,198,188.04,21/03/2023,7.819918145,1,214.24,-7.776325616,-19.28678118,214.24
191.15,199.3,200.66,190.95,22/03/2023,-3.254377973,0,214.24,-10.77763256,-19.28678118,214.24
192.22,195.26,199.31,188.65,23/03/2023,0.559769814,0,214.24,-10.27819268,-19.28678118,214.24
190.41,191.65,192.36,187.15,24/03/2023,-0.941629383,0,214.24,-11.12303958,-19.28678118,214.24
